# Curated list of available Grafana Cloud integrations.
# Format: slug | name | version | categories | platforms (platforms optional)
# Blank lines and lines starting with '#' are ignored.
aerospike | Aerospike | 1.0.0 | Database, NoSQL | kubernetes,linux
apache-activemq | Apache ActiveMQ | 1.1.0 | Message Queue | darwin,kubernetes,linux,windows
apache-airflow | Apache Airflow | 1.0.0 | Developer Tools | darwin,kubernetes,linux
apache-cassandra | Apache Cassandra | 1.1.0 | Database, NoSQL, Data Warehouse | darwin,kubernetes,linux,windows
apache-couchdb | Apache CouchDB | 1.1.0 | Database, NoSQL | darwin,kubernetes,linux,windows
apache-hadoop | Apache Hadoop | 1.0.0 | Database, NoSQL, Data Format, Business Intelligence | kubernetes,linux
apache-hbase | Apache HBase | 1.0.1 | Database, NoSQL, Business Intelligence | linux
apache-http | Apache HTTP server | 1.0.1 | Web Servers and Proxies | darwin,linux,windows
apache-mesos | Apache Mesos | 1.0.0 | Servers and VMs | kubernetes,linux,windows
apache-solr | Apache Solr | 1.0.4 | NoSQL, Database | darwin,kubernetes,linux,windows
apache-tomcat | Apache Tomcat | 1.2.0 | Web Servers and Proxies | darwin,kubernetes,linux,windows
apollo-server | Apollo Server | 1.0.0 | Web Servers and Proxies | darwin,linux,windows
asterisk | Asterisk | 1.0.0 | Networking | darwin,linux,windows
awx | AWX | 1.0.0 | Developer Tools | darwin,linux
caddy | Caddy | 1.1.0 | Security, Web Servers and Proxies | darwin,linux,windows
catchpoint | Catchpoint | 1.0.1 | APM, Web Servers and Proxies, Profiling | darwin,linux,windows
ceph | Ceph | 1.0.1 | Database, Servers and VMs | darwin,linux,windows
cert-manager | Cert Manager | 1.0.1 | Security | darwin,kubernetes,linux,windows
cilium-enterprise | Cilium Enterprise | 1.0.0 | Networking, APM, Security, Servers and VMs | kubernetes
clickhouse | ClickHouse | 1.1.0 | Database, APM, Business Intelligence | kubernetes,linux
cloudflare | Cloudflare | 1.1.0 | Security, Networking | darwin,linux,windows
cockroachdb | CockroachDB | 1.0.0 | SQL, Database | darwin,kubernetes,linux,windows
consul | Consul | 1.0.0 | Networking, Data Warehouse | darwin,linux,windows
coredns | CoreDNS | 1.0.0 | Networking | darwin,kubernetes,linux,windows
couchbase | Couchbase | 1.0.0 | Database, NoSQL | darwin,kubernetes,linux,windows
databricks | Databricks | 1.0.1 | Database, Data Warehouse, Business Intelligence, Machine Learning | darwin,linux,windows
discourse | Discourse | 1.0.0 | | linux
dnsmasq | dnsmasq | 1.0.0 | Networking | darwin,linux,windows
docker | Docker | 1.4.0 | Servers and VMs | linux
docker-desktop | Docker Desktop | 2.0.0 | Servers and VMs | linux
elasticsearch | ElasticSearch | 1.0.0 | Database, NoSQL, Logs | darwin,linux,windows
envoy | Envoy | 1.0.0 | Networking, Web Servers and Proxies | darwin,linux
etcd | etcd | 1.0.0 | Servers and VMs, Database | darwin,kubernetes,linux,windows
f5-bigip | F5 BIG-IP | 1.0.2 | Security, Networking | darwin,linux,windows
gitea | Gitea | 1.0.0 | Developer Tools | darwin,linux,windows
github | GitHub | 1.0.0 | Developer Tools | darwin,linux,windows
gitlab | GitLab | 1.0.0 | Developer Tools, CI/CD | kubernetes,linux
golang | Go | 1.1.0 | Languages and Frameworks, Data Format, Developer Tools | darwin,linux,windows
grafana-agent | Grafana Agent health | 1.0.1 | Time Series, Developer Tools | darwin,linux,windows
haproxy | HAProxy | 1.1.0 | Web Servers and Proxies, Networking | darwin,linux,windows
hass | Home Assistant | 1.0.0 | IoT | darwin,linux,windows
hcp-consul | HCP Consul | 1.0.0 | Data Warehouse, Networking, Cloud Provider | darwin,linux,windows
ibm-db2 | IBM DB2 | 1.0.0 | Database | kubernetes,linux
ibm-mq | IBM MQ | 1.0.0 | Message Queue | kubernetes,linux,windows
influxdb | InfluxDB | 1.1.0 | Database, NoSQL, IoT, Time Series | darwin,kubernetes,linux,windows
istio | Istio | 1.0.2 | Networking, Security | kubernetes
jenkins | Jenkins | 1.0.0 | CI/CD, Developer Tools | darwin,linux,windows
jira | Jira | 1.0.0 | Developer Tools, Business Intelligence | darwin,linux,windows
jvm | JVM | 2.1.0 | Developer Tools, Languages and Frameworks, Data Format | darwin,linux,windows
kafka | Kafka | 2.2.2 | Message Queue | darwin,kubernetes,linux,windows
